,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,021,022,023,024,026,027,028,029,030,031,032,033,035,036,037,040,041,042,043,044,046,047,049,050,051,052,053,054,055,056,060,061,062,063,065,067,068,069,070,071,072,075,076,077,078,079,081,082,083,084,085,086,087,088,089,090,091,100,101,102,140,151,227,343,346,369,377,396,700,709,724,740,N/A
001,22,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002,0,29,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003,0,1,277,4,1,0,2,1,0,0,30,0,0,2,0,0,8,0,0,0,0,30,1,3,9,0,0,0,3,0,0,29,0,2,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,42,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97,38,6,0,0,0,0,0,22,0,0,0,0,0,0,0
004,0,0,4,134,0,0,1,0,2,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,2,4,1,0,125,0,3,0,1,2,3,0,1,0,0,0,0,0,5,1,1,0,0,0,0,3,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0
006,0,0,0,0,0,151,14,1,0,11,4,0,0,0,0,0,0,1,0,0,0,8,3,0,0,0,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007,0,0,2,1,3,14,1093,0,1,10,144,0,0,3,2,0,0,0,0,0,0,381,11,0,1,0,0,0,4,0,0,14,0,0,526,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008,0,0,1,0,0,1,0,78,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009,0,2,0,2,1,0,1,0,285,0,0,0,0,3,0,12,0,1,1,5,2,0,2,0,0,0,0,0,1,3,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,2,0,0,0,0,0,16,0,1,0,7,26,0,1,0
010,0,0,0,0,2,11,10,0,0,240,0,0,0,0,1,0,0,0,0,0,0,9,7,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011,0,0,30,0,3,4,144,0,0,0,395,0,0,0,0,0,0,0,0,1,0,117,11,0,1,0,0,0,3,1,0,103,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
